,city,city_ibge_code,confirmed,confirmed_per_100k_inhabitants,date,death_rate,deaths,estimated_population_2019,is_last,order_for_place,place_type,state,City,State,Is_capital,Is_top_5,IDHM,IDHM_ranking,IDHM_longevity,Age_until_1,Age_1-4,Age_5-9,Age_10-14,Age_15-69,Age_60+,Population,Tourism_category,Rural_urban,Hotels,Companies,Cars,Motorcycles,Latitude,Longitude
5511,Guarulhos,3518800,14,1.01509,2020-03-30,0.1429,2,1379182.0,False,8,city,SP,Guarulhos,SP,0,1,0.763,334.0,0.831,14365.0,58730.0,78414.0,90184.0,701841.0,92644.0,1036178.0,4,Urbano,5.0,28349.0,455976.0,97694.0,-23.468506,-46.53108409
5512,Guarulhos,3518800,13,0.94259,2020-03-27,0.1538,2,1379182.0,False,7,city,SP,Guarulhos,SP,0,1,0.763,334.0,0.831,14365.0,58730.0,78414.0,90184.0,701841.0,92644.0,1036178.0,4,Urbano,5.0,28349.0,455976.0,97694.0,-23.468506,-46.53108409
5513,Guarulhos,3518800,9,0.65256,2020-03-26,0.1111,1,1379182.0,False,6,city,SP,Guarulhos,SP,0,1,0.763,334.0,0.831,14365.0,58730.0,78414.0,90184.0,701841.0,92644.0,1036178.0,4,Urbano,5.0,28349.0,455976.0,97694.0,-23.468506,-46.53108409
5514,Guarulhos,3518800,5,0.36253,2020-03-25,0.2,1,1379182.0,False,5,city,SP,Guarulhos,SP,0,1,0.763,334.0,0.831,14365.0,58730.0,78414.0,90184.0,701841.0,92644.0,1036178.0,4,Urbano,5.0,28349.0,455976.0,97694.0,-23.468506,-46.53108409
5515,Guarulhos,3518800,1,0.07251,2020-03-20,,0,1379182.0,False,4,city,SP,Guarulhos,SP,0,1,0.763,334.0,0.831,14365.0,58730.0,78414.0,90184.0,701841.0,92644.0,1036178.0,4,Urbano,5.0,28349.0,455976.0,97694.0,-23.468506,-46.53108409
5516,Guarulhos,3518800,1,0.07251,2020-03-19,,0,1379182.0,False,3,city,SP,Guarulhos,SP,0,1,0.763,334.0,0.831,14365.0,58730.0,78414.0,90184.0,701841.0,92644.0,1036178.0,4,Urbano,5.0,28349.0,455976.0,97694.0,-23.468506,-46.53108409
5517,Guarulhos,3518800,1,0.07251,2020-03-18,,0,1379182.0,False,2,city,SP,Guarulhos,SP,0,1,0.763,334.0,0.831,14365.0,58730.0,78414.0,90184.0,701841.0,92644.0,1036178.0,4,Urbano,5.0,28349.0,455976.0,97694.0,-23.468506,-46.53108409
5518,Guarulhos,3518800,1,0.07251,2020-03-17,,0,1379182.0,False,1,city,SP,Guarulhos,SP,0,1,0.763,334.0,0.831,14365.0,58730.0,78414.0,90184.0,701841.0,92644.0,1036178.0,4,Urbano,5.0,28349.0,455976.0,97694.0,-23.468506,-46.53108409
5906,Osasco,3534401,373,53.40641,2020-04-23,0.1019,38,698418.0,True,30,city,SP,Osasco,SP,0,1,0.78,174.0,0.84,8089.0,32305.0,42733.0,49379.0,420590.0,62972.0,616068.0,4,Urbano,2.0,15315.0,283641.0,73477.0,-23.533612,-46.78881014
5907,Osasco,3534401,353,50.5428,2020-04-22,0.0907,32,698418.0,False,29,city,SP,Osasco,SP,0,1,0.78,174.0,0.84,8089.0,32305.0,42733.0,49379.0,420590.0,62972.0,616068.0,4,Urbano,2.0,15315.0,283641.0,73477.0,-23.533612,-46.78881014
